101389	6
101390	214
101391	424
101392	11
101393	2
101394	0
101395	0
101396	0
101397	156
101398	0
101399	12
101400	0
101401	127
101402	0
101403	0
101404	181
101405	0
101406	0
101407	10
101408	23
101409	0
101410	0
101411	56
101412	109
101413	0
101414	0
101415	170
101416	0
101417	0
101418	70
101419	1
101420	3
101421	0
101422	0
101423	4
101424	0
101425	0
101426	0
101427	0
101428	0
101429	62
101430	0
101431	2
101432	48
101433	0
101434	17
101435	44
101436	0
101437	190
101438	0
101439	0
101440	4
101441	6
101442	92
101443	7
101444	45
101445	0
101446	20
101447	51
101448	174
101449	1
101450	0
101451	0
101452	92
101453	63
101454	69
101455	0
101456	2
101457	0
101458	0
101459	0
101460	30
101461	10
101462	1
101463	0
101464	0
101465	4
101466	294
101467	20
101468	0
101469	0
